rank,Artists,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
177,Eminem,Lose Yourself  From 8 Mile Soundtrack,Aftermath,44,173,82,5860465
178,Brent Faiyaz,LOOSE CHANGE,Lost Kids LLC Marketed by Venice   Stem,178,-1,1,5854629
179,The Neighbourhood,Softcore,Columbia,35,171,27,5851963
180,Ed Sheeran,Perfect,Atlantic Records UK,4,175,278,5850726
181,Olivia Rodrigo,happier,Olivia Rodrigo PS,12,174,60,5828833
182,Drake WizKid Kyla,One Dance,Cash Money Records Young Money Ent Universal Rec,12,172,136,5813505
183,Rauw Alejandro,Todo De Ti,Sony Music Latin Duars Entertainment,2,159,60,5810092
184,Cigarettes After Sex,Apocalypse,PTKF,184,-1,1,5805454
185,Arctic Monkeys,Do I Wanna Know,Domino Recording Co,117,196,44,5804169
186,Rosa Linn,SNAP,Nvak Collective,186,-1,1,5780104
187,Bizarrap Tiago PZK,Tiago PZK Bzrp Music Sessions Vol 48,WEA Latina DALE PLAY Records,37,-1,19,5766183
188,Brent Faiyaz,ALL MINE,Lost Kids LLC Marketed by Venice   Stem,188,-1,1,5750054
189,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,189,-1,1,5699530
190,Tiago PZK Ozuna,Nos Comemos feat Ozuna,WEA Latina,140,185,6,5697806
191,Rema,Calm Down,Mavin Records   Jonzing World,191,-1,1,5688777
192,Avicii,Wake Me Up,Universal Music AB,13,184,83,5662493
193,Alejo Feid ROBI,Pantysito,UMLE  Latino,55,192,17,5657880
194,Shawn Mendes,Theres Nothing Holdin Me Back,Island Records,5,180,69,5637347
195,The Kid LAROI,Thousand Miles,Columbia,18,186,12,5607355
196,Ze Felipe MC Mari,Bandido,Som Livre,125,177,3,5603007
197,The Goo Goo Dolls,Iris,Warner Records,124,183,11,5592566
198,Fivio Foreign The Kid LAROI,Paris to Tokyo,RichFish Columbia,198,-1,1,5572362
199,Sleepy Hallow 347aidan,Die Young feat 347aidan,Winners Circle RCA Records,97,178,7,5542413
200,Avicii,The Nights,Universal Music AB,44,187,70,5536726
