rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
141,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,108,146,39,5721795,7/8/2021
141,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,108,141,40,5776214,7/15/2021
146,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me to Church,108,141,41,5895804,7/22/2021
85,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,45,95,16,7312005,7/8/2021
89,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,45,85,17,7041842,7/15/2021
102,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,45,89,18,6795472,7/22/2021
106,spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,45,102,19,6660319,7/29/2021
17,spotify:track:41oY4WCTj5kccfesTVFnvN,Bad Bunny,Tarot,9,17,11,16955194,7/21/2021
16,spotify:track:2rurDawMfoKP4uHyb2kJBt,Shakira,Te Felicito,13,14,13,17440021,7/21/2021
58,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatia,2,56,20,9033201,7/8/2021
67,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatia,2,58,21,8633427,7/15/2021
70,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatia,2,67,22,8481357,7/22/2021
77,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatia,2,70,23,7912399,7/29/2021
148,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Cochise,Tell Em,110,150,6,5639206,7/8/2021
149,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Cochise,Tell Em,110,163,9,5668576,7/29/2021
151,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Cochise,Tell Em,110,148,7,5621828,7/15/2021
163,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Cochise,Tell Em,110,151,8,5661329,7/22/2021
66,spotify:track:2UwALqx6yOsXTFt7zRxnts,Pop Smoke,Tell The Vision feat Kanye West and Pusha T,66,1,1,8859168,7/22/2021
74,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,3,69,44,8515471,7/21/2021
39,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiesto,The Business,9,44,36,11629827,7/8/2021
41,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiesto,The Business,9,42,38,11453556,7/22/2021
42,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiesto,The Business,9,39,37,11522026,7/15/2021
45,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,9,41,39,10739770,7/29/2021
123,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,52,165,47,6909384,7/21/2021
189,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,52,-1,31,5068864,7/29/2021
164,spotify:track:15qKrPi4Kg0z7g9HlwWyeb,Bas,The Jackie with J Cole and Lil Tjay,164,-1,1,5454994,7/15/2021
109,spotify:track:18asYwWugKjjsihZ0YvRxO,Tiesto,The Motto,22,100,37,7336271,7/21/2021
126,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,44,131,20,6136340,7/29/2021
131,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,44,140,19,6141520,7/22/2021
140,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,44,150,18,5811790,7/15/2021
150,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,44,155,17,5621742,7/8/2021
144,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,51,158,59,6445391,7/21/2021
199,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,172,-1,11,4943359,7/8/2021
200,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,172,-1,12,4948965,7/29/2021
196,spotify:track:7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,Theres Nothing Holdin Me Back,5,194,70,5729364,7/21/2021
46,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,46,52,4,10676414,7/8/2021
49,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,46,46,5,10455445,7/15/2021
54,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,46,49,6,9656237,7/22/2021
61,spotify:track:5zNW5ARjYhJQJz1AChP33n,Megan Thee Stallion,Thot Shit,46,54,7,8977336,7/29/2021
149,spotify:track:2Gq636OOGgxCTqEuzCZhsa,Bizarrap,Tiago PZK Bzrp Music Sessions Vol 48,37,187,20,6419476,7/21/2021
60,spotify:track:4OwhwvKESFtuu06dTgct7i,Marc Segui,Tiroteo Remix,60,79,2,8955115,7/15/2021
52,spotify:track:4OwhwvKESFtuu06dTgct7i,Marc Segui,Tiroteo Remix,52,59,4,9781153,7/29/2021
59,spotify:track:4OwhwvKESFtuu06dTgct7i,Marc Segui,Tiroteo Remix,59,60,3,9379052,7/22/2021
79,spotify:track:4OwhwvKESFtuu06dTgct7i,Marc Segui,Tiroteo Remix,79,-1,1,7625863,7/8/2021
5,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Titi Me Pregunto,5,6,11,33228334,7/21/2021
5,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,2,3,7,33286977,7/8/2021
