rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
84,spotify:track:2uflssWlCaJ6CbTMOsUpNI,Bad Bunny,Aguacero,Rimas Entertainment LLC,22,68,10,8006060
85,spotify:track:32vE1nuG8T9c8bhmZdRY6d,Post Malone Roddy Ricch,Cooped Up with Roddy Ricch,Mercury Records Republic Records,18,80,9,7994323
86,spotify:track:5LYMamLv12UPbemOaTPyeV,Harry Styles,Music For a Sushi Restaurant,Columbia,6,69,8,7975996
87,spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty Get Money,Republic Records,87,-1,1,7961447
88,spotify:track:5rJ7bdPmr8nfmm2JQ8xHOz,NAYEON,POP,Republic Records – NAYEON TWICE,68,71,3,7946134
89,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin La Industria,89,157,2,7913446
90,spotify:track:3DarAbFujv6eYNliUTyqtz,Doja Cat SZA,Kiss Me More feat SZA,Kemosabe Records RCA Records,3,84,66,7834602
91,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic Arthouse Records,1,88,35,7804786
92,spotify:track:0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute,Roc Nation W Smith P&D,28,87,17,7793009
93,spotify:track:0OTNHGKcqQbk51bOYe462Y,PolimA Westcoast Pailita,ULTRA SOLO,Sony Music Entertainment Chile SA,42,85,12,7788713
94,spotify:track:7gwT3HGL84vF7bgtwL1N88,Lasso,Ojos Marrones,Universal Music Mexico,94,107,2,7759140
95,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,86,58,7725632
96,spotify:track:46HNZY1i7O6jwTA7Slo2PI,Coldplay BTS,My Universe,Parlophone UK,3,93,42,7725313
97,spotify:track:1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,Warner Records,54,95,11,7706393
98,spotify:track:62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,Only Love Can Hurt Like This,RCA Records Label,98,99,8,7684157
99,spotify:track:3AVXwaOGCEL8cmBecfcsFJ,Charlie Puth,Light Switch,Atlantic Records,19,92,25,7678666
100,spotify:track:18asYwWugKjjsihZ0YvRxO,Tiësto Ava Max,The Motto,Atlantic Records,22,89,36,7581340
101,spotify:track:7o2CTH4ctstm8TNelqjb51,Guns N' Roses,Sweet Child O Mine,Geffen,101,170,6,7448276
102,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,Harry Styles,Matilda,Columbia,5,90,8,7444904
103,spotify:track:3sa06xVNmLLYIxdNNmVQN8,Jax Jones MNEK,Where Did You Go? feat MNEK,Polydor Records,103,110,13,7444100
104,spotify:track:4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,Warner Records,21,106,40,7388259
105,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Eminem,Without Me,Aftermath,31,101,42,7370646
106,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,Panic! At The Disco,House of Memories,Decaydance Fueled By Ramen,64,98,12,7331020
107,spotify:track:1BkY0N8ChFk2mdLbAUu8ZK,Musical Youth,Pass The Dutchie,Geffen,85,105,6,7298167
108,spotify:track:1oFAF1hdPOickyHgbuRjyX,The Weeknd Ariana Grande,Save Your Tears Remix with Ariana Grande  Bonus Track,XO   Republic Records,5,109,64,7264983
109,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner   Interscope,16,108,284,7255180
110,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish Khalid,lovely with Khalid,Darkroom,24,112,221,7239832
111,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,111,113,57,7197695
112,spotify:track:1UdzJEpgJxtuXAlCOvD4S0,Danny Ocean,Fuera del mercado,Atlantic Records,22,103,17,7197197
113,spotify:track:7fYRg3CEbk6rNCuzNzMT06,Calvin Harris Dua Lipa Young Thug,Potion with Dua Lipa and Young Thug,Columbia,26,104,7,7193191
114,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,58,116,82,7181441
115,spotify:track:0E0DRHf5PfMeor0ZCwB3oT,Bad Bunny The Marías,Otro Atardecer,Rimas Entertainment LLC,24,100,10,7162502
116,spotify:track:71wFwRo8xGc4lrcyKwsvba,Bad Bunny Tainy,Callaita,Rimas Entertainment LLC,7,102,63,7130314
117,spotify:track:0zCgWGmDF0aih5qexATyBn,MrKitty,After Dark,Negative Gain Productions,117,117,13,7104196
118,spotify:track:5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,Syco Music,111,111,7,7094361
119,spotify:track:59CfNbkERJ3NoTXDvoURjj,Dove Cameron,Boyfriend,Disruptor Records Columbia,11,114,22,7028681
120,spotify:track:3ujiq7yK4Uan5z4876fHLK,DJ Robin Schürze,Layla,Polydor x Island Records & Kontor New Media & Summerfield Records,120,195,2,6985121
121,spotify:track:68Dni7IE4VyPkTOH9mRWHr,J Cole,No Role Modelz,Roc Nation Records LLC,76,129,51,6974666
122,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd Daft Punk,Starboy,Universal Republic Records,1,126,93,6958528
123,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC Universal Music Catalogue,121,121,6,6918015
124,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,115,184,6895453
125,spotify:track:69xohKu8C1fsflYAiSNbwM,BTS,Run BTS,BIGHIT MUSIC,11,65,5,6837752
126,spotify:track:5jt25aFjW2kNoBqaEVaz5W,Mora Feid,LA INOCENTE,Rimas Entertainment LLC,126,194,2,6783870
127,spotify:track:4rmVZajAF7PkrCagGPHbqa,Drake,Sticky,OVO,17,94,4,6757368
128,spotify:track:7mFj0LlWtEJaEigguaWqYh,Megan Thee Stallion Dua Lipa,Sweetest Pie,300 Entertainment,17,122,18,6722738
129,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody  Remastered 2011,Hollywood Records,11,128,198,6717197
130,spotify:track:1XGmzt0PVuFgQYYnV2It7A,Maroon 5 Wiz Khalifa,Payphone,Interscope Records,70,130,30,6646181
131,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records RCA Records,6,119,57,6644057
132,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,Burna Boy,Last Last,Spaceship  Bad Habit Atlantic Records,132,-1,1,6638232
133,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,The Weeknd Gesaffelstein,I Was Never There,Universal Republic Records,17,148,6,6605597
134,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Dont Start Now,Warner Records,2,125,141,6603999
135,spotify:track:1c2hJSwcCfoPEw1su83Sw0,Lady Gaga,Hold My Hand,Interscope Records,110,118,7,6599369
136,spotify:track:5gflgO9EPbIBf16n5TKnQS,Zion & Lennox,Yo Voy feat Daddy Yankee,Baby Records Inc,59,136,21,6550814
137,spotify:track:1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,Atlantic Records,11,127,37,6538563
138,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,BTS,Dynamite,BIGHIT MUSIC,2,120,99,6532745
139,spotify:track:7lvDsmTRXFE3dK4OjvRiWB,Shae Gill Ali Sethi,Pasoori,Giraffe Pakistan,109,151,12,6524803
140,spotify:track:4iJyoBOLtHqaGxP12qzhQI,Justin Bieber Daniel Caesar Giveon,Peaches feat Daniel Caesar and Giveon,RBMG Def Jam,1,133,69,6523246
141,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,Taylor Swift,Blank Space,Big Machine Records LLC,113,140,36,6493642
142,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Post Malone Swae Lee,Sunflower  SpiderMan Into the SpiderVerse,Republic Records,1,139,195,6480368
143,spotify:track:2NMjggapJcXXM7WccGEBUO,Bad Bunny,Enseñame a Bailar,Rimas Entertainment LLC,27,124,10,6472774
144,spotify:track:5vC8UAOHeG95ehRzZChniB,L7NNON DJ Biel do Furduncinho Bianca,Ai Preto,Papatunes,144,176,2,6463319
145,spotify:track:10xV5l9nhLvFpR8mqzs0bL,Marshmello Khalid,Numb,Joytime Collective RCA Records,114,149,5,6446068
146,spotify:track:1WCEAGGRD066z2Q89ObXTq,David Guetta Becky Hill Ella Henderson,Crazy What Love Can Do,Parlophone UK,146,156,10,6444554
147,spotify:track:6y8z28epOv5FlaxDv1Lo5B,Ryan Castro,Jordan,King Records,33,138,20,6428732
148,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO Call Me By Your Name,Columbia,1,135,68,6413290
149,spotify:track:0gucTLf7trAf37Ua1uAyAu,Nirvana,Smells Like Teen Spirit,Geffen,103,147,79,6407330
150,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,122,145,80,6405142
151,spotify:track:3Wrjm47oTz2sjIgck11l5e,Maneskin,Beggin,RCA Records Label,1,142,58,6404697
152,spotify:track:63WuQOXohQIxOxIFA2K7bR,Maneskin,SUPERMODEL,Epic,89,155,9,6390201
153,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley   Interscope,101,146,70,6389642
154,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr Brightside,Island Records,98,141,103,6377591
155,spotify:track:2m6Ko3CY1qXNNja8AlugNc,Troye Sivan,Angel Baby,EMI Recorded Music Australia Pty Ltd,59,131,15,6368998
156,spotify:track:51Zw1cKDgkad0CXv23HCMU,Harry Styles,Daylight,Columbia,10,123,8,6360091
157,spotify:track:3AbNNvo2OmyeDMvRBgf9vk,TINI Becky G Anitta,La Loto,Sony Music Latin,157,-1,1,6354408
158,spotify:track:3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,Interscope,51,143,58,6347800
159,spotify:track:3uJFmluXzYedoJcvhpC1AW,Cardi B Kanye West Lil Durk,Hot Shit feat Ye and Lil Durk,Atlantic Records,54,54,2,6280767
160,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,144,150,6273440
161,spotify:track:18HOjcvTVV7W8YzBuOsAPS,Bad Bunny,Un Verano Sin Ti,Rimas Entertainment LLC,20,132,10,6253523
162,spotify:track:2J2Z1SkXYghSajLibnQHOa,Sia,Unstoppable,Monkey Puzzle Records RCA Records,107,152,22,6251829
163,spotify:track:48AJSd42lXpicsGqcgopof,Daddy Yankee Bad Bunny,X ULTIMA VEZ,Republic Records,18,137,16,6246991
164,spotify:track:4MzXwWMhyBbmu6hOcLVD49,Bad Bunny Jhay Cortez,DAKITI,Rimas Entertainment LLC,1,153,89,6238240
165,spotify:track:7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,Universal Republic Records,52,167,46,6217639
166,spotify:track:0i4UV3HjjvsUuV3BajEXoD,MC Tairon Mc Vitin Da Igrejinha Dj Win,Baile no Morro,Life Song Records,154,154,2,6217171
167,spotify:track:0fea68AdmYNygeTGI4RC18,J Balvin Bad Bunny,LA CANCION,Universal Music Latino   Rimas,17,161,73,6146420
168,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,158,285,6132218
169,spotify:track:0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,88rising Music Warner Records,75,134,40,6090140
170,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,106,164,28,6050387
171,spotify:track:20on25jryn53hWghthWWW3,ACRAZE Cherish,Do It To It,Thrive Music LLC,9,160,37,6025166
172,spotify:track:7l9IqDtVWJurTvkQHq1BGh,Tate McRae,shes all i wanna be,RCA Records Label,38,166,23,6024585
