Popularity,artist_names,track_name,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6,Bad Bunny,Yonaguni,['latin'],0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,206710
6,Lil Nas X,MONTERO Call Me By Your Name,['pop'],0.61,0.508,8,-6.682,0,0.152,0.297,0,0.384,0.758,178.818,137876
6,Bad Bunny,Ojitos Lindos,['latin'],0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,258299
6,Bad Bunny,Titi Me Pregunto,['latin'],0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717
6,Joji,Glimpse of Us,['pop'],0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,233456
7,Drake,Im Upset,['hip hop'],0.899,0.587,11,-7.866,0,0.338,0.279,0,0.0835,0.49,149.993,214467
7,Cardi B,I Like It,['pop'],0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,253390
7,XXXTENTACION,SAD,['rap'],0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606
7,Tyga,Taste feat Offset,['hip hop'],0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
7,Lil Nas X,Panini,['pop'],0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893
7,Bad Bunny,Callaita,['latin'],0.61,0.624,2,-4.773,1,0.309,0.6,0.00000212,0.243,0.244,176.169,250534
7,Ed Sheeran,Antisocial with Travis Scott,['pop'],0.716,0.823,5,-5.313,0,0.0495,0.132,0,0.361,0.91,151.957,161747
7,Billie Eilish,bad guy,['hip hop'],0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
7,Powfu,death bed coffee for your head,['rap'],0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333
7,Juice WRLD,Wishing Well,['rap'],0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621
7,DJ Khaled,POPSTAR feat Drake,['hip hop'],0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,200221
7,Harry Styles,Watermelon Sugar,['pop'],0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000
7,Ed Sheeran,Bad Habits,['pop'],0.808,0.897,11,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026,231041
7,Doja Cat,Kiss Me More feat SZA,['rap'],0.764,0.705,8,-3.463,1,0.0284,0.259,0.0000892,0.12,0.781,110.97,208667
7,Rauw Alejandro,Todo De Ti,['trap latino'],0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604
7,Charlie Puth,Left and Right Feat Jung Kook of BTS,['pop'],0.881,0.592,2,-4.898,1,0.0324,0.619,0.0000132,0.0901,0.719,101.058,154487
7,Bad Bunny,Ojitos Lindos,['latin'],0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,258299
7,Bad Bunny,Efecto,['latin'],0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,0.234,98.047,213061
8,Drake,Survival,['hip hop'],0.685,0.593,9,-9.083,0,0.284,0.134,0,0.123,0.144,84.763,136187
8,Calvin Harris,One Kiss with Dua Lipa,['pop'],0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,214847
8,Tyga,Taste feat Offset,['hip hop'],0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,232959
8,Clean Bandit,Solo feat Demi Lovato,['pop'],0.737,0.636,11,-4.546,0,0.0437,0.0441,0.0000666,0.35,0.565,105.005,222653
8,Bad Bunny,Callaita,['latin'],0.61,0.624,2,-4.773,1,0.309,0.6,0.00000212,0.243,0.244,176.169,250534
8,Lil Nas X,Panini,['pop'],0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893
8,Anuel AA,China,['latin'],0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714
8,Sam Smith,How Do You Sleep,['pop'],0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205
8,Lady Gaga,Rain On Me with Ariana Grande,['pop'],0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200
8,Juice WRLD,Lifes A Mess feat Halsey,['rap'],0.63,0.446,1,-8.9,1,0.0351,0.337,0,0.166,0.177,143.078,202193
8,Juice WRLD,Wishing Well,['rap'],0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621
8,Taylor Swift,the last great american dynasty,['pop'],0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999
8,Dua Lipa,Levitating feat DaBaby,['hip hop'],0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,203064
8,Maneskin,I WANNA BE YOUR SLAVE,['pop'],0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,173347
8,Bad Bunny,Yonaguni,['latin'],0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,206710
8,Rauw Alejandro,Todo De Ti,['trap latino'],0.78,0.719,3,-3.613,0,0.0506,0.302,0.000196,0.0931,0.336,127.962,199604
8,Bad Bunny,Efecto,['latin'],0.801,0.475,7,-8.797,0,0.0516,0.141,0.0000173,0.0639,0.234,98.047,213061
8,Bad Bunny,Ojitos Lindos,['latin'],0.647,0.686,3,-5.745,0,0.0413,0.08,0.00000134,0.528,0.268,79.928,258299
9,Drake,Elevate,['hip hop'],0.755,0.47,1,-8.72,1,0.139,0.0153,0,0.118,0.0604,76.056,184960
9,Post Malone,Better Now,['rap'],0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,231267
9,Calvin Harris,One Kiss with Dua Lipa,['pop'],0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,214847
9,Ariana Grande,God is a woman,['pop'],0.604,0.673,1,-5.979,1,0.0545,0.0268,0.0000332,0.187,0.287,144.971,197573
9,Sech,Otro Trago,['classical'],0.746,0.7,0,-4.669,1,0.341,0.136,0.000159,0.11,0.619,176.044,225933
9,Billie Eilish,bad guy with Justin Bieber,['hip hop'],0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840
9,Sam Smith,How Do You Sleep,['pop'],0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205
9,Bad Bunny,Callaita,['latin'],0.61,0.624,2,-4.773,1,0.309,0.6,0.00000212,0.243,0.244,176.169,250534
9,Topic,Breaking Me,['pop'],0.789,0.72,8,-5.652,0,0.218,0.223,0,0.129,0.664,122.031,166794
9,Juice WRLD,Conversations,['rap'],0.747,0.622,11,-5.825,1,0.0838,0.176,0,0.151,0.57,159.93,181661
9,SAINt JHN,Roses Imanbek Remix,['rap'],0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,176840
9,Maneskin,I WANNA BE YOUR SLAVE,['pop'],0.75,0.608,1,-4.008,1,0.0387,0.00165,0,0.178,0.958,132.507,173347
9,J Balvin,Que Mas Pues,['latin'],0.891,0.819,8,-3.964,1,0.106,0.0261,0.000354,0.173,0.768,101.968,217773
9,BTS,Butter,['k pop'],0.759,0.459,8,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,164442
9,Bad Bunny,Yonaguni,['latin'],0.644,0.648,1,-4.601,1,0.118,0.276,0,0.135,0.44,179.951,206710
9,Bad Bunny,Moscow Mule,['latin'],0.804,0.674,5,-5.453,0,0.0333,0.294,0.00000118,0.115,0.292,99.968,245940
